Word,Valence,Arousal,Dominance,Valence_Raw,Arousal_Raw,Dominance_Raw
abandon,-0.80,0.70,0.30,1.80,6.60,3.40
absolutely,0.18,0.68,0.62,5.72,6.44,5.96
accept,0.78,0.45,0.68,8.12,4.60,6.44
accomplish,0.82,0.60,0.74,8.28,5.80,6.92
achievement,0.85,0.65,0.76,8.40,6.20,7.08
afraid,-0.68,0.85,0.28,2.28,7.80,3.24
aggressive,-0.65,0.85,0.78,2.40,7.80,7.24
alarmed,-0.68,0.87,0.32,2.28,7.96,3.56
amazed,0.60,0.82,0.55,7.40,7.56,5.40
amazing,0.91,0.82,0.74,8.64,7.56,6.92
angry,-0.72,0.88,0.72,2.12,8.04,6.76
annoyed,-0.52,0.62,0.55,2.92,5.96,5.40
anxious,-0.62,0.82,0.38,2.52,7.56,4.04
appreciate,0.84,0.50,0.67,8.36,5.00,6.36
ashamed,-0.75,0.65,0.35,2.00,6.20,3.80
awful,-0.80,0.65,0.34,1.80,6.20,3.72
bad,-0.68,0.52,0.42,2.28,5.16,4.36
beautiful,0.88,0.55,0.68,8.52,5.40,6.44
belong,0.75,0.42,0.65,8.00,4.36,6.20
betray,-0.82,0.78,0.38,1.72,7.24,4.04
bitter,-0.70,0.65,0.62,2.20,6.20,5.96
blissful,0.93,0.68,0.70,8.72,6.44,6.60
bored,-0.48,0.22,0.38,3.08,2.76,4.04
brave,0.78,0.62,0.82,8.12,5.96,7.56
calm,0.70,0.18,0.62,7.80,2.44,5.96
career,0.45,0.52,0.65,6.80,5.16,6.20
challenge,0.12,0.68,0.62,5.48,6.44,5.96
chance,0.52,0.55,0.60,7.08,5.40,5.80
cheerful,0.87,0.68,0.71,8.48,6.44,6.68
comfortable,0.75,0.30,0.66,8.00,3.40,6.28
completely,0.15,0.52,0.60,5.60,5.16,5.80
confident,0.77,0.62,0.82,8.08,5.96,7.56
confused,-0.35,0.65,0.42,3.60,6.20,4.36
content,0.78,0.35,0.65,8.12,3.80,6.20
continue,0.28,0.48,0.60,6.12,4.84,5.80
correct,0.58,0.38,0.62,7.32,4.04,5.96
coward,-0.72,0.48,0.25,2.12,4.84,3.00
cry,-0.65,0.65,0.35,2.60,6.20,3.80
curious,0.45,0.62,0.58,6.80,5.96,5.64
danger,-0.75,0.88,0.32,2.00,8.04,3.56
defeat,-0.73,0.60,0.30,2.08,5.80,3.40
delighted,0.91,0.75,0.70,8.64,7.00,6.60
depressed,-0.85,0.45,0.28,1.40,4.60,3.24
disappointed,-0.65,0.42,0.40,2.60,4.36,4.20
discouraged,-0.68,0.48,0.37,2.28,4.84,3.96
disgusting,-0.78,0.72,0.42,1.88,6.76,4.36
doubtful,-0.38,0.52,0.43,3.48,5.16,4.44
dreadful,-0.79,0.67,0.33,1.84,6.36,3.64
dream,0.48,0.45,0.50,6.92,4.60,5.00
ecstatic,0.94,0.92,0.78,8.76,8.36,7.24
elated,0.92,0.87,0.76,8.68,7.96,7.08
embarrassed,-0.58,0.72,0.38,3.32,6.76,4.04
enraged,-0.85,0.93,0.80,1.40,8.44,7.40
enthusiastic,0.88,0.85,0.75,8.52,7.80,7.00
envious,-0.52,0.62,0.50,2.92,5.96,5.00
error,-0.55,0.52,0.42,3.20,5.16,4.36
excellent,0.88,0.70,0.75,8.52,6.60,7.00
exclude,-0.72,0.65,0.35,2.12,6.20,3.80
excited,0.85,0.88,0.73,8.40,8.04,6.84
exhausted,-0.52,0.45,0.32,2.92,4.60,3.56
extremely,0.12,0.75,0.55,5.48,7.00,5.40
fail,-0.78,0.65,0.32,1.88,6.20,3.56
failure,-0.78,0.62,0.32,1.88,5.96,3.56
fair,0.65,0.35,0.68,7.60,3.80,6.44
family,0.75,0.52,0.62,8.00,5.16,5.96
fantastic,0.92,0.80,0.76,8.68,7.40,7.08
fearful,-0.72,0.82,0.30,2.12,7.56,3.40
fine,0.68,0.35,0.60,7.72,3.80,5.80
finish,0.68,0.52,0.68,7.72,5.16,6.44
fire,-0.70,0.85,0.35,2.20,7.80,3.80
forget,-0.38,0.45,0.40,3.48,4.60,4.20
friend,0.78,0.48,0.65,8.12,4.84,6.20
frustrated,-0.65,0.72,0.60,2.60,6.76,5.80
furious,-0.82,0.95,0.78,1.72,8.60,7.24
glad,0.83,0.62,0.69,8.32,5.96,6.52
good,0.72,0.42,0.62,7.88,4.36,5.96
grateful,0.86,0.52,0.67,8.44,5.16,6.36
great,0.85,0.68,0.72,8.40,6.44,6.76
grief,-0.82,0.62,0.30,1.72,5.96,3.40
guilty,-0.68,0.58,0.42,2.28,5.64,4.36
happy,0.88,0.65,0.72,8.52,6.20,6.76
hate,-0.85,0.85,0.68,1.40,7.80,6.44
heal,0.75,0.42,0.65,8.00,4.36,6.20
healthy,0.82,0.45,0.70,8.28,4.60,6.60
help,0.75,0.48,0.68,8.00,4.84,6.44
helpless,-0.75,0.65,0.20,2.00,6.20,2.60
hire,0.65,0.58,0.68,7.60,5.64,6.44
hope,0.72,0.58,0.62,7.88,5.64,5.96
hopeful,0.75,0.55,0.68,8.00,5.40,6.44
horrible,-0.83,0.70,0.30,1.68,6.60,3.40
hostile,-0.78,0.80,0.70,1.88,7.40,6.60
humiliated,-0.80,0.78,0.28,1.80,7.24,3.24
hurt,-0.70,0.65,0.35,2.20,6.20,3.80
ignore,-0.60,0.52,0.38,2.80,5.16,4.04
include,0.72,0.48,0.66,7.88,4.84,6.28
incredibly,0.15,0.72,0.53,5.60,6.76,5.24
injustice,-0.75,0.68,0.42,2.00,6.44,4.36
interested,0.52,0.58,0.60,7.08,5.64,5.80
intrigued,0.55,0.65,0.62,7.20,6.20,5.96
invite,0.70,0.52,0.64,7.80,5.16,6.12
irritated,-0.58,0.68,0.58,3.32,6.44,5.64
isolated,-0.73,0.50,0.31,2.08,5.00,3.48
jealous,-0.55,0.68,0.52,3.20,6.44,5.16
job,0.25,0.45,0.60,6.00,4.60,5.80
join,0.68,0.50,0.62,7.72,5.00,5.96
joy,0.93,0.78,0.75,8.72,7.24,7.00
jubilant,0.90,0.82,0.74,8.60,7.56,6.92
justice,0.72,0.52,0.70,7.88,5.16,6.60
laugh,0.85,0.72,0.68,8.40,6.76,6.44
listen,0.35,0.35,0.60,6.40,3.80,5.80
lonely,-0.75,0.45,0.33,2.00,4.60,3.64
loss,-0.75,0.58,0.35,2.00,5.64,3.80
love,0.95,0.72,0.68,8.80,6.76,6.44
lovely,0.85,0.52,0.66,8.40,5.16,6.28
luck,0.62,0.48,0.55,7.48,4.84,5.40
mad,-0.68,0.82,0.68,2.28,7.56,6.44
miserable,-0.88,0.58,0.25,1.48,5.64,3.00
miss,-0.52,0.55,0.38,2.92,5.40,4.04
mistake,-0.60,0.58,0.40,2.80,5.64,4.20
mortified,-0.78,0.82,0.30,1.88,7.56,3.40
nasty,-0.70,0.65,0.48,2.20,6.20,4.84
nervous,-0.52,0.78,0.40,2.92,7.24,4.20
nice,0.75,0.40,0.62,8.00,4.20,5.96
okay,0.45,0.25,0.52,6.80,3.00,5.16
opportunity,0.75,0.62,0.70,8.00,5.96,6.60
optimistic,0.79,0.60,0.72,8.16,5.80,6.76
overwhelmed,-0.70,0.80,0.35,2.20,7.40,3.80
pain,-0.75,0.70,0.32,2.00,6.60,3.56
panicked,-0.78,0.95,0.22,1.88,8.60,2.76
peaceful,0.82,0.28,0.65,8.28,3.24,6.20
persist,0.62,0.58,0.72,7.48,5.64,6.76
pleasant,0.78,0.45,0.64,8.12,4.60,6.12
pleased,0.82,0.58,0.68,8.28,5.64,6.44
poor,-0.55,0.42,0.40,3.20,4.36,4.20
powerful,0.68,0.72,0.88,7.72,6.76,8.04
pride,0.81,0.58,0.78,8.24,5.64,7.24
problem,-0.58,0.62,0.45,3.32,5.96,4.60
promote,0.80,0.65,0.75,8.20,6.20,7.00
proud,0.81,0.58,0.78,8.24,5.64,7.24
quit,-0.58,0.52,0.45,3.32,5.16,4.60
really,0.08,0.58,0.52,5.32,5.64,5.16
recover,0.78,0.48,0.68,8.12,4.84,6.44
regretful,-0.65,0.52,0.40,2.60,5.16,4.20
reject,-0.75,0.68,0.32,2.00,6.44,3.56
rejected,-0.77,0.68,0.28,1.92,6.44,3.24
relaxed,0.76,0.22,0.63,8.04,2.76,6.04
relief,0.75,0.50,0.65,8.00,5.00,6.20
remember,0.35,0.42,0.58,6.40,4.36,5.64
resentful,-0.72,0.70,0.65,2.12,6.60,6.20
rest,0.65,0.20,0.55,7.60,2.60,5.40
right,0.62,0.42,0.68,7.48,4.36,6.44
risk,-0.35,0.75,0.48,3.60,7.00,4.84
run,0.15,0.72,0.65,5.60,6.76,6.20
sad,-0.78,0.42,0.35,1.88,4.36,3.80
safe,0.75,0.22,0.72,8.00,2.76,6.76
satisfied,0.80,0.48,0.70,8.20,4.84,6.60
scared,-0.70,0.88,0.25,2.20,8.04,3.00
scream,-0.55,0.92,0.62,3.20,8.36,5.96
secure,0.73,0.25,0.74,7.92,3.00,6.92
serene,0.80,0.25,0.64,8.20,3.00,6.12
shocked,-0.20,0.90,0.45,4.20,8.20,4.60
shout,-0.52,0.85,0.68,2.92,7.80,6.44
sick,-0.68,0.55,0.35,2.28,5.40,3.80
sleep,0.58,0.15,0.52,7.32,2.20,5.16
slightly,0.00,0.12,0.48,5.00,1.96,4.84
smile,0.83,0.58,0.66,8.32,5.64,6.28
solution,0.68,0.55,0.65,7.72,5.40,6.20
somewhat,0.00,0.15,0.49,5.00,2.20,4.92
sorrow,-0.80,0.55,0.32,1.80,5.40,3.56
stop,-0.18,0.52,0.52,4.28,5.16,5.16
stressed,-0.65,0.78,0.40,2.60,7.24,4.20
strong,0.72,0.58,0.85,7.88,5.64,7.80
succeed,0.88,0.68,0.78,8.52,6.44,7.24
success,0.88,0.68,0.78,8.52,6.44,7.24
suffer,-0.80,0.68,0.28,1.80,6.44,3.24
support,0.82,0.50,0.70,8.28,5.00,6.60
surprised,0.15,0.85,0.50,5.60,7.80,5.00
talk,0.20,0.42,0.55,5.80,4.36,5.40
tense,-0.55,0.75,0.45,3.20,7.00,4.60
terrible,-0.82,0.68,0.32,1.72,6.44,3.56
terrified,-0.82,0.92,0.20,1.72,8.36,2.60
thankful,0.84,0.50,0.66,8.36,5.00,6.28
threat,-0.78,0.85,0.38,1.88,7.80,4.04
tired,-0.42,0.28,0.40,3.32,3.24,4.20
totally,0.12,0.55,0.58,5.48,5.40,5.64
tranquil,0.78,0.20,0.63,8.12,2.60,6.04
triumph,0.89,0.78,0.79,8.56,7.24,7.32
trust,0.80,0.45,0.72,8.20,4.60,6.76
try,0.35,0.55,0.62,6.40,5.40,5.96
uncertain,-0.30,0.58,0.45,3.80,5.64,4.60
unfair,-0.68,0.62,0.40,2.28,5.96,4.20
unhappy,-0.72,0.48,0.38,2.12,4.84,4.04
unpleasant,-0.62,0.50,0.45,2.52,5.00,4.60
very,0.10,0.15,0.50,5.40,2.20,5.00
victory,0.90,0.75,0.80,8.60,7.00,7.40
violent,-0.80,0.90,0.75,1.80,8.20,7.00
vulnerable,-0.60,0.68,0.28,2.80,6.44,3.24
wait,-0.25,0.48,0.42,4.00,4.84,4.36
wake,0.12,0.65,0.55,5.48,6.20,5.40
walk,0.18,0.28,0.58,5.72,3.24,5.64
weak,-0.55,0.45,0.28,3.20,4.60,3.24
welcome,0.80,0.55,0.68,8.20,5.40,6.44
win,0.86,0.72,0.77,8.44,6.76,7.16
wish,0.60,0.52,0.55,7.40,5.16,5.40
wonderful,0.90,0.72,0.73,8.60,6.76,6.84
work,0.15,0.48,0.58,5.60,4.84,5.64
worried,-0.58,0.72,0.42,3.32,6.76,4.36
wrong,-0.62,0.58,0.38,2.52,5.64,4.04
yell,-0.58,0.88,0.65,3.32,8.04,6.20
